,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
842,TragicMagic62,"Retired nurse,Democrat,wife,mom,grandma",,188,44,1788,33,"Whitney Henriquez committed perjury trying to protect her big sis who beat HER up. #AmberHeard is a violent, gold-digging, finger-chopping, defecator-in-chief prev arrested for #domesticabuse &amp; admitted hitting #JohnnyDepp. Stick her in JAIL! Matt O’C https://t.co/0pnXtzOiky",['AmberHeard']
843,AllanJLewis2,,,465,7622,180772,29,My Monday Musings https://t.co/gEoo08tj6j via @ToryRichards #johnnydepp #amberheard #mondaymusings #mondaythoughts #mondaymorning,"['johnnydepp', 'amberheard', 'mondaymusings', 'mondaythoughts']"
844,ritujay,Journalist/Hindustan Times,Kolkata,1325,483,3225,0,Who Is Edward Owen? Johnny Depp's Star Lawyer Camille Vasquez Dating Cambridge-Educated WeWork Director https://t.co/7uYU4VV0QN #EdwardOwen #CamilleVasquez #CamilleForPartner #JohnnyDepp #AmberHeard #JohnnyDeppvAmberHeard #WeWork #JOHNNYDEPPWINS #Viral #viraltwitter,"['EdwardOwen', 'CamilleVasquez', 'CamilleForPartner', 'JohnnyDepp', 'AmberHeard', 'JohnnyDeppvAmberHeard', 'WeWork', 'JOHNNYDEPPWINS', 'Viral', 'viraltwitter']"
845,ericvernay,"cinéma, rires & chansons

suivi par William Friedkin et Patrick Sébastien

✍️ @so_film @Trois_Couleurs 📺 @cineplus 🌐 @courtcircuit
📚 Shyamalan / The Wire","Paris, France",4447,10606,45291,0,"Aquaman 2 starring Elizabeth 2 

#dalle2 #openai #AI #FrancisBacon #AmberHeard https://t.co/K5terpexen","['dalle2', 'openai', 'AI', 'FrancisBacon', 'AmberHeard']"
846,iamranorius,Professional Banker | News Enthusiast | CSE Investor n Trader | Blogger | Jnr  Software Engineer- Freelancer | Cryto #bnb,Batticaloa,289,198,2096,0,"The #JohnnyDepp case against #AmberHeard received wide publicity with some joking it maybe the 1st time a man won an argument against a woman. 
But Depp's lawyer was Camille Vasquez who won the trial for him. 

So finally it was a woman who won the argument fr him ✌️ #JustSaying","['JohnnyDepp', 'AmberHeard', 'JustSaying']"
847,jay_e_,"Just Livin' Learnin' & a lot bit Lovin'...

#IStandWithJohnnyDepp #EnoughisEnough
#NarcissisticAbuseSurvior #Empath #LoyaltyAboveAllElse.","Michigan, USA",1900,222,5498,138,UPDATE: interview with “rock star” Judy will air tomorrow on @LawCrimeNetwork. I’m under the weather. It will be better to wait. Apologies #JohnnyDepp v. #AmberHeard,[]
848,petiteonsteroid,leader of the HOE GANG! don't f*cking play with me! Rated PG! 👅,,554,2919,94671,138,UPDATE: interview with “rock star” Judy will air tomorrow on @LawCrimeNetwork. I’m under the weather. It will be better to wait. Apologies #JohnnyDepp v. #AmberHeard,[]
849,jessica912123,In love with @ian_snake 🥰💖,"Marietta, GA",4018,285,3542,1,"By the way, I don't wanna see #AmberHeard any film, TV shows! In short on the screens! #AmberHeardlsALiar","['AmberHeard', 'AmberHeardlsALiar']"
850,cmb0601,🌻,"Oklahoma, USA",54,0,108,0,"Amber is NOT A VICTIM, you dumb cum guzzler 😂 you just love munching on her booty hole hair, don’t you? 🤢💩😂😂 #EveFartlow #ScamberTurd #AmberHeardCommittedPerjury #AmberHeardlsApsychopath #AmberHeard #JusticeForJohnnyDepp https://t.co/c2KFzhEzLI","['EveFartlow', 'ScamberTurd', 'AmberHeardCommittedPerjury', 'AmberHeardlsApsychopath', 'AmberHeard', 'JusticeForJohnnyDepp']"
851,mamwidges,"Johnny free 😊
#JusticeForJohnnyDepp",,804,729,9945,0,"You offended her with your never-ending lies #AmberHeard. Don't be surprised that she came after you 🖤.
['Truth Coming Out of Her Well' by Jean-Léon Gérôme]
#JusticeForJohnnyDepp https://t.co/QsO99eb8LK","['AmberHeard', 'JusticeForJohnnyDepp']"
852,saskia_sordon,i'm just a Ghost,,2124,255,14696,3,"For everyone that wanna forget about #AmberHeard , #ElaineBredehoft and #DrSpiegel this is your chance to look at the flashy thingy. 

#AmberHeardlsApsychopath #JohnnyDeppGotJustice #WillSmith https://t.co/07O0a5AjwP","['AmberHeard', 'ElaineBredehoft', 'DrSpiegel']"
853,NrWzjeLDhGwjnT6,,,0,5,1213,147,"𝑨𝒆𝒔𝒕𝒉𝒆𝒕𝒊𝒄 𝑺𝒕𝒓𝒆𝒂𝒌#6

#BatuhanKaracakaya #ミンサガRS #JanhviKapoor #AmberHeard #ArgentinaVsItaly #AmberTurd #AmberHeardDeservesPrison https://t.co/IyhoSFH5qj","['BatuhanKaracakaya', 'ミンサガRS', 'JanhviKapoor', 'AmberHeard', 'ArgentinaVsItaly', 'AmberTurd']"
854,melran03,"Don’t look back, you’re not going that way! 🌻","Central QLD, AUSTRALIA",119,49,3822,0,"It’s not a step back for all women, but a huge leap forward for DV as an equality!!

Go get your baby out of the microwave #AmberHeard and go home, you do not speak for me!!

#TeamJohnny #TeamJohnnyDepp #AmberIsALiar #AmberTurdIsAnAbuser #JusticeForJohnnyDepp","['AmberHeard', 'TeamJohnny', 'TeamJohnnyDepp', 'AmberIsALiar', 'AmberTurdIsAnAbuser', 'JusticeForJohnnyDepp']"
855,spotnews18_,Spot News 18 is The Voice of Growing Nation. Discover the Latest News and Updates Directly From Spot News 18.,India,1,140,5976,0,"Johnny Depp Dinner Bill: Johnny Depp Parties In The Joy Of Victory Over Ex-wife Amber Heard! Bill Of So Many Rupees Paid In Indian Restaurant.

#JonnyDepp #AmberHeard  
https://t.co/oWAT8TX3PX","['JonnyDepp', 'AmberHeard']"
856,ApuMynation,*Member of MyNation [https://t.co/CrnDkplsK8] Foundation*,,595,521,20103,14,"@MyNation_PM @DrProudman @AnsuMynation @DrProudman , unfortunately, the world we now live in is full of  #AmberHeard !

Great Respect for all respectable #women ! https://t.co/OB0Cliirpk",['AmberHeard']
857,Jeanna_917,Mom & Grammy from the home of the Indy 500🏎 that LOVES Nails💅🏽 Makeup💄racing 🏁 & the Paranormal👻 You can find me on YT @ Blonde & Boujee☺️,"Indianapolis, IN",446,103,769,166,"How did Johnny Depp hurt his finger
#JohnnyDepp #AmberHeard #Animation 

https://t.co/l5UCwzjZBx https://t.co/cxAy0izuRA","['JohnnyDepp', 'AmberHeard', 'Animation']"
858,YahooSG,YahooSG's official Twitter account. Send us a tip-off at reachus@yahooinc.com | FB: https://t.co/JOm6tUOR1E | Telegram: https://t.co/arYI3dENca,Singapore,503,335810,205674,0,"""They would just sit there, and all of a sudden I’d see their head drop."" 😴

#AmberHeard #JohnnyDepp
https://t.co/hgCWaYXax2","['AmberHeard', 'JohnnyDepp']"
859,KrisMoo4,Disabled autistic woman. 😷💉👻. Survivor of DV and CSA. #IsupportAmberHeard. Trans rights are human rights. Gun control NOW,,82,14,279,11,"Depp Stans crawling thru #AmberHeard hash tags just to be toxic is, at the very least, disappointing...
Dad level disappointed,
with ""the look""
and the head shaking.

#AmberHeardIsInnocent
#IStandWithAmberHeard
#IBelieveAmberHeard",['AmberHeard']
860,__TIm______,"Onyankopɔn || Urban Geographer || #AKSC ||#MUFC || The Reader

 ~See underneath the underneath~",,9426,11089,268268,138,UPDATE: interview with “rock star” Judy will air tomorrow on @LawCrimeNetwork. I’m under the weather. It will be better to wait. Apologies #JohnnyDepp v. #AmberHeard,[]
861,Decan__Frost,🏴‍☠️,,60,4,311,2198,"This is a strip club here in Vegas. 😂💀
#AmberHeard https://t.co/0M6wJMkziA",['AmberHeard']
862,protecturright,"Fight for your right, if the government chooses to take it from you, don’t be a coward “FIGHT FOR IT”","Lagos, Nigeria",479,316,1847,83,"Amber Turd Knew exactly what she was doing!!!

#JusticeForJohnnyDepp #JohnnyDepp #amberheard #deppvsheard #johnnydepptrial #justiceforjohnny Paxton FNB app May Photo Dumb Stage 2 #GomoraMzansi https://t.co/zU43iJfVZE","['JusticeForJohnnyDepp', 'JohnnyDepp', 'amberheard', 'deppvsheard']"
863,H1psterFenix,"I play basketball, I eat Food and I live my Life.  Shooting Guard -Mexico 🇲🇽 -England 🇬🇧-America 🇺🇸-Australia 🇦🇺.",Everywhere,84,123,16453,0,"@mroliverkc #Amberheard only she was more thinking ""I should shit on this man right now""",['Amberheard']
864,GeniaFerro,"Not your typical Mommy. OT7.
Holiday Concierge for UK/EU Market
Cruise, Tours and More ..","Albufeira, Portugal",317,112,6191,14,Open letter to @realamberheard #AmberHeardIsAMonster #AmberTurdIsAnAbuser #JohnnyDepp #JohnnyDeppIsInnocent #AmberHeard #AmberHeardlsALiar https://t.co/1nNYU7cMbO,"['AmberHeardIsAMonster', 'AmberTurdIsAnAbuser', 'JohnnyDepp', 'JohnnyDeppIsInnocent', 'AmberHeard']"
865,808Charles_16,Managing Partner @taylormade_cust 🇿🇲 🇲🇼,"Ndola, Zambia",1026,1071,6523,8,"The #JohnnyDepp win over #AmberHeard is an important one for men, because men do get abused by female partners but the old tradition of the #court often favouring women over men has failed to highlight this fact! I hope it sends a message across the world.
#JohnnyDeppVsAmberHeard https://t.co/GStXQgkQZy","['JohnnyDepp', 'AmberHeard']"
866,simplymattyboy,Surf Skate Guitar Proud Asian - Godless Atheist,,25,0,46,1,#AmberHeard &amp; #ElaineBredehoft evidences be like https://t.co/X2vOQEjzgU,"['AmberHeard', 'ElaineBredehoft']"
867,syedhas90327344,,Pakistan,79,11,3606,0,"Click For Detail.
https://t.co/l1MfKa0QL0
#AmberHeard #AmberHeardlsApsychopath #AmberHeardlsAnAbuser https://t.co/axE2x61qbP","['AmberHeard', 'AmberHeardlsApsychopath', 'AmberHeardlsAnAbuser']"
868,Dette2323,,🇵🇭 ,129,103,7465,37,"While #NewJobsForAmberHeard is trending, I'd like to suggest that #AmberHeard could work as #EveBarlow's publicist.","['NewJobsForAmberHeard', 'AmberHeard', 'EveBarlow']"
869,Mensday19Nov,Want Men's Commission in 🇮🇳. Why there's no law for mens in 🇮🇳.,,900,1120,49465,14,"@MyNation_PM @DrProudman @AnsuMynation @DrProudman , unfortunately, the world we now live in is full of  #AmberHeard !

Great Respect for all respectable #women ! https://t.co/OB0Cliirpk",['AmberHeard']
870,UdyaniSri,"Welcome to my world ❤️

Undergraduate, @NSBM Green University",Sri Lanka,19,1,2,7,"The #JohnnyDepp case against #AmberHeard received wide publicity with some joking it maybe the 1st time a man won an argument against a woman. 
But Depp's lawyer was Camille Vasquez who won the trial for him. 

So finally it was a woman who won the argument fr him ✌️ #JustSaying","['JohnnyDepp', 'AmberHeard']"
871,TasnimTrisha1,I'm Unique........,"Dhaka, Bangladesh",276,55,9995,138,UPDATE: interview with “rock star” Judy will air tomorrow on @LawCrimeNetwork. I’m under the weather. It will be better to wait. Apologies #JohnnyDepp v. #AmberHeard,[]
872,TopGunNavyPilot,"Hi I'm Stephen 👋🏻 I'm a Huge Top Gun fan. I love God, Movies, & Music. I'm also a Marvel & DC fan. #TopGun #TopGunMaverick #TopGunFan 😎😎",,239,166,10982,12,"Nice one, Brad! 🤨👍 #bradpitt #bradpit #JohnnyDepp #amberheard  #IStandWithJohnyDepp https://t.co/sWCalCnfYD","['bradpitt', 'bradpit', 'JohnnyDepp', 'amberheard', 'IStandWithJohnyDepp']"
873,Sametge64312012,,Türkiye,233,40,3634,12,"💔The afterglow of #JonnyDepp  and #AmberHeard  trial has not yet dissipated

⬆️Depp’s NFT #NeverFearTruth is still surging @JohnnyDeppNFT 

✊Who are you rooting for? Has #NFT succeeded in putting this famous trial in a collectible?
 
#JonnyDeppvsAmberHeard https://t.co/a9UVUnqqHX","['JonnyDepp', 'AmberHeard', 'NeverFearTruth']"
874,will_calcutt,MUFC 🔰 and Lioness supporter 🦁 MSc Criminal Psychology graduate. ESL teacher. Cool uncle. Irrelevant number. Nerd. Night owl. Netflix-er.,🇬🇧,772,189,7528,33,"Whitney Henriquez committed perjury trying to protect her big sis who beat HER up. #AmberHeard is a violent, gold-digging, finger-chopping, defecator-in-chief prev arrested for #domesticabuse &amp; admitted hitting #JohnnyDepp. Stick her in JAIL! Matt O’C https://t.co/0pnXtzOiky",['AmberHeard']
875,BobDgray,"Pharmacist, 

Digital Assets Investor
#HEX
https://t.co/LdeLMXB8Sl

~Delayed Gratification is the key to sustainable wealth creation~",x,1045,314,993,12,"💔The afterglow of #JonnyDepp  and #AmberHeard  trial has not yet dissipated

⬆️Depp’s NFT #NeverFearTruth is still surging @JohnnyDeppNFT 

✊Who are you rooting for? Has #NFT succeeded in putting this famous trial in a collectible?
 
#JonnyDeppvsAmberHeard https://t.co/a9UVUnqqHX","['JonnyDepp', 'AmberHeard', 'NeverFearTruth']"
876,breerose1995,We're all mad here. I'm mad. You're mad. -Chesire Cat. I believe... Whatever doesn't kill you only makes you... Stranger -Joker,england,354,143,5472,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
877,TruthAndSarcasm,"I Tweet What Everyone Is Thinking But Won't Dare Say. I Know I Can Be Heartless, Tasteless And Inappropriate So If My Tweets Are Really Nice I Was Hacked 😂",Sarcasticville ,100,256,10277,0,"This Crazy Bitch Doesn’t Get It, It Was Never About The Money. 

#AmberHeard #JohnnyDepp #AmberHeardIsALiar #AmberTurd #JohnnyDeppVsAmberHeardTrail https://t.co/N1lOil1EaG","['AmberHeard', 'JohnnyDepp', 'AmberHeardIsALiar', 'AmberTurd', 'JohnnyDeppVsAmberHeardTrail']"
878,rkmtimes,"#Media & #News, #Bitcoin, #NFT Web 3.0 #Blogs, We bringing the world closer together and Publishing content, #Breaking news, #Photography and Writing #Blog!",Global,1162,207,1978,0,"The arab men to marrying #AmberHeard to pay millions of USD. 

#JohnnyDepp #NFT #AmberHeardCommittedPerjury #AmberHerd #johhnydeppvsamberheard #ArabWorld #UnitedStates https://t.co/WYRR8UfDku","['AmberHeard', 'JohnnyDepp', 'NFT', 'AmberHeardCommittedPerjury', 'AmberHerd', 'johhnydeppvsamberheard', 'ArabWorld', 'UnitedStates']"
879,OFDResistance,Anglo-Indian. #Resist #MaskUp 😷 #Biden #Brit #Harris #Obama #HRC #BlackLivesMatter #JusticeForSushantSinghRajput #JohnnyDepp #MeghanHarry,Born in Nottm UK Living in USA,5000,3010,272000,0,@mimasdiaries Thankful for all the vast  #AmberHeard recordings and picture evidence that incriminated “Amber Lying Heard.” How dare she defame Johnny Depp. #JusticeServedForJohnnyDepp,"['AmberHeard', 'JusticeServedForJohnnyDepp']"
880,CherylC45628599,#MotherOfGirls #JAMI3G1BSON #Britain #Scotland #AllLifeMatters #EducationIsKey #AnimalLover #NeverFearTruth,United Kingdom,571,306,2654,0,"#AmberHeard supporters can’t STOP talking about #AngelinaJolie like it’s the same thing.  It’s NOT. She’s not claiming sexual abuse or any sort of abuse actually, and she had every right to sell her share as she pleased. #AmberHeardCommittedPerjury  #AmberHeardDoesNOTSpeakForMe","['AmberHeard', 'AngelinaJolie', 'AmberHeardCommittedPerjury', 'AmberHeardDoesNOTSpeakForMe']"
881,Strykovski,"First up, I'm Sri Lankan, which makes me Black, Brown, Tan. Well just not White and I support the Republican values and Trump! 
Unapologetic English Speaker 🕺","USA, Mississippi",141,20,562,0,"2.6 Million followers in less than a day!
Let's see what it's going to be like tomorrow ☺️ let's spread the word peeps ✌🏻
#JusticeServedForJohnnyDepp #WarnerBros #JohnnyDepp #JohnnyDeppGotJustice #Twitter #TikTok 💥
#AmberHeard #AmberTurds https://t.co/X4v15ftLNu","['JusticeServedForJohnnyDepp', 'WarnerBros', 'JohnnyDepp', 'JohnnyDeppGotJustice', 'Twitter', 'TikTok', 'AmberHeard', 'AmberTurds']"
882,OrdinaryGuyUK,"Ltd Co Director, #ForgottenLtd 
#Excluded #ExcludedUnity #ExcludedUK #IR35 #BBL 
Politically homeless, #aWOKEn & #GTTO

#DomesticAbuse #MenToo #AbuseHasNoGender",United Kingdom 🇬🇧,602,525,14712,0,@MaleScotland Think her letting the £80m tory donor slip up was a bit of an #AmberHeard moment tbh ... home goal.,['AmberHeard']
883,Salamiiscrazi1,"Names Salam. Someday I hope to Leave the world a better place than when I found it by practicing medicine and saving lives,",,1731,73,15447,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
884,InkedOnCulture,,"Norfolk, UK ",19,3,56,0,@NatetheLawyer @YouTube They have it the wrong way round. Johnny is not perfect and is the victim. #AmberHeard is just evil. That laugh in that recording still haunts me.,['AmberHeard']
885,SanjeeWeeras,,,345,77,1780,7,"The #JohnnyDepp case against #AmberHeard received wide publicity with some joking it maybe the 1st time a man won an argument against a woman. 
But Depp's lawyer was Camille Vasquez who won the trial for him. 

So finally it was a woman who won the argument fr him ✌️ #JustSaying","['JohnnyDepp', 'AmberHeard']"
886,itzsavie,"Affiliate||Copywriter||Crypto-Nephline.
Follow, Retweet, and Tag your friends on our posts.😊🤝",Abyss,415,285,20936,12,"💔The afterglow of #JonnyDepp  and #AmberHeard  trial has not yet dissipated

⬆️Depp’s NFT #NeverFearTruth is still surging @JohnnyDeppNFT 

✊Who are you rooting for? Has #NFT succeeded in putting this famous trial in a collectible?
 
#JonnyDeppvsAmberHeard https://t.co/a9UVUnqqHX","['JonnyDepp', 'AmberHeard', 'NeverFearTruth']"
887,HarshKohli09,,,5000,1139,191501,108,"None of you Turd stans can logically explain away the audio that incriminates her. #AmberHeard’s attempt was pure nonsense. 

If you believe Amber Heard then you are stupid or in denial.",['AmberHeard']
888,BanerjiSumita,,,19,2,308,0,"#AmberHeard 

Amber Heard's lawyer said she will appeal. Understand Heard (or her insurance company) will have to put up some sort of bond that shows she has or can raise the money that she owes Depp. Does Amber have ability to post the bond for appeal?",['AmberHeard']
889,palivin58,,,22,8,926,910,"A very big FUCK YOU to:
1. Amber Heard
2. Eve Barlow
3. Dr. Proudman
4. L'Oreal 
5. ACLU
6. WB
7. DC
8. Mainstream Media

#TruthWins 
#DeppVsHeard 
#JohnnyDepp 
#JohnnyDeppAmberHeardTrial 
#YesYesYes
#AmberTurd 
#AmberHeardIsAnAbuser 
#AmberHeardIsALiar 
#AmberHeard",[]
890,yeeeaahnetwork,"MUSIC•ENTERTAINMENT•NEWS | JOIN OUR MAILING LIST FOR UPDATES, GIVEAWAYS AND MORE Follow us on IG - yeeeaahnetworknews","London, England",467,198,6437,0,"GOFUNDME SHUTS DOWN $1M FUNDRAISER LISTED TO ASSIST AMBER HEARD IN PAYING JOHNNY DEPP $8.35M IN DAMAGES.

#JohnnyDepp #AmberHeard #defamation #trial #celebritynews #GoFundMe #YEEEAAHNetwork #YEEEAAHNetworkNews
https://t.co/so1Tjp3yOU","['JohnnyDepp', 'AmberHeard', 'defamation', 'trial', 'celebritynews', 'GoFundMe', 'YEEEAAHNetwork', 'YEEEAAHNetworkNews']"
891,gate_io,"#Gateio was created to empower a new generation of #crypto enthusiasts with the means to discuss, learn & access the revolutionary age of #Cryptocurrencies.",,2632,854294,19563,12,"💔The afterglow of #JonnyDepp  and #AmberHeard  trial has not yet dissipated

⬆️Depp’s NFT #NeverFearTruth is still surging @JohnnyDeppNFT 

✊Who are you rooting for? Has #NFT succeeded in putting this famous trial in a collectible?
 
#JonnyDeppvsAmberHeard https://t.co/a9UVUnqqHX","['JonnyDepp', 'AmberHeard', 'NeverFearTruth', 'NFT', 'JonnyDeppvsAmberHeard']"
892,Koimoi,"Latest Entertainment News, Quick Reviews, & The One Stop Box Office Guru.
https://t.co/6e5quzrugB
Follow:
Facebook- https://t.co/puupz9Jw0A
Instagram - koimoi",Bombay,979,245497,122148,0,"Court Stenographer reveals insider details of Johnny Depp &amp; Amber Heard trail!

#JohnnyDepp #AmberHeard #JohnnyDeppVsAmberHeard #JohnnyDeppVsAmberHeardTrial #koimoi 
https://t.co/7JHPCuEPKF","['JohnnyDepp', 'AmberHeard', 'JohnnyDeppVsAmberHeard', 'JohnnyDeppVsAmberHeardTrial', 'koimoi']"
893,Evaiii_lll,I created my magic. ✨ In the NFT world 💸 #NFTs #NFTCommunity #Opensea #Polygon,,1248,1359,6341,5,"Johnny Depp’s NFT Sales ‘Surge’ After Winning Lawsuit Against Amber Heard

https://t.co/alZEDFkmok

#NFT #NFTs #NFTCommunity #NFTGiveaway #NFTMarketplace #Animalverse #AnimalverseDancingUnderwater #JohnnyDepp #AmberHeard #NeverFearTruth","['NFT', 'NFTs']"
894,uituit,Tweets are my own. Pun intended.,Gaia,2329,1656,74176,3,"Eve Barlow is now picking on Judy, the court reporter, aka, rockstar, who everyone clapped for EXCEPT #amberheard. These people are now spreading false info about Judy. This is bullying and it needs to quit #justiceforjudy #justiceservedforjohnnydepp #AmberIsALiar https://t.co/tFmo7lTHkt",['amberheard']
895,SpeakupaboutDv,,,55,45,723,11,"Depp Stans crawling thru #AmberHeard hash tags just to be toxic is, at the very least, disappointing...
Dad level disappointed,
with ""the look""
and the head shaking.

#AmberHeardIsInnocent
#IStandWithAmberHeard
#IBelieveAmberHeard",['AmberHeard']
896,AlmmlkaArabNews,أخر الاخبار السعودية والعالمية,المملكة العربية السعودية,880,98,5460,1,"https://t.co/Z3seIeGy1P
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/6VJg3dsImF",[]
897,AlmmlkaArabNews,أخر الاخبار السعودية والعالمية,المملكة العربية السعودية,880,98,5460,1,"https://t.co/Z3seIeGy1P
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/6VJg3dsImF","['AmberHeard', 'JusticeForJohnnyDepp', 'amberheardvsjohnnydepp', 'whitneyHenriquez', 'JohnnyDepp', 'AmberTurds']"
898,A_New_Atlantis,Dawn is breaking. Greet the new day.,,418,65,4799,0,"All in favor of calling all crazy self entitled narcissistic white girls “Amber” say aye.

#johnnydepp
#amberheard","['johnnydepp', 'amberheard']"
899,Yahoo_MY,"The latest updates from Yahoo! Malaysia. Like us: http://t.co/vKkQXn2ksf . For help on email and account-related issues, please visit http://t.co/EE1S6gZaGu.",Malaysia,249,85668,56042,0,"""They would just sit there, and all of a sudden I’d see their head drop."" 😴

#AmberHeard #JohnnyDepp
https://t.co/yk6LKsaIBG","['AmberHeard', 'JohnnyDepp']"
900,CoffeeQueenJ7,"I love the Show Friend's! lover of Jesus,Coffee, Music, Sunflower's &the Beach. #JohnnyDepp🥰 #CaptainJackSparrow 🥰","Pomona, CA",46,15,287,12,"Nice one, Brad! 🤨👍 #bradpitt #bradpit #JohnnyDepp #amberheard  #IStandWithJohnyDepp https://t.co/sWCalCnfYD","['bradpitt', 'bradpit', 'JohnnyDepp', 'amberheard', 'IStandWithJohnyDepp']"
901,AlmmlkaArabNews,أخر الاخبار السعودية والعالمية,المملكة العربية السعودية,880,98,5460,1,"https://t.co/Z3seIeGy1P
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/3sZU7ibSvs",[]
902,AlmmlkaArabNews,أخر الاخبار السعودية والعالمية,المملكة العربية السعودية,880,98,5460,1,"https://t.co/Z3seIeGy1P
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/3sZU7ibSvs","['AmberHeard', 'JusticeForJohnnyDepp', 'amberheardvsjohnnydepp', 'whitneyHenriquez', 'JohnnyDepp', 'AmberTurds']"
903,OumalAhmed1,,,39,24,4388,0,WATCH FOX DESTROY   #AMBERHEARD  #WOW #shorts https://t.co/rNnY3lYw1d via @YouTube,"['AMBERHEARD', 'WOW', 'shorts']"
904,EnceladusW,"Musician, Designer, Artist, Astronomer

Have worked in Law & Architecture

https://t.co/PVjjnLuv0C

https://t.co/uNORg1cbNQ",England Uk,249,274,7820,1,"Make a difference &amp; listen to the Police, the BWC, the witnesses &amp; #amberheard herself on tape as well as the Police record from 2003 which shows she lies to Police. The DV arrest in the airport &amp; verbal &amp; mental abuse of a minor infront of many witnesses. @CPSUK @JudiciaryUK https://t.co/57ygXpmvMK",['amberheard']
905,news1_trend,Sky Trend News,,50,1,113,1,"https://t.co/qnoPCvqExQ
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/PBJfaD49Ni",[]
906,news1_trend,Sky Trend News,,50,1,113,1,"https://t.co/qnoPCvqExQ
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/PBJfaD49Ni","['AmberHeard', 'JusticeForJohnnyDepp', 'amberheardvsjohnnydepp', 'whitneyHenriquez', 'JohnnyDepp', 'AmberTurds']"
907,news1_trend,Sky Trend News,,50,1,113,1,"https://t.co/qnoPCvqExQ
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/U7JoXJKp4a",[]
908,news1_trend,Sky Trend News,,50,1,113,1,"https://t.co/qnoPCvqExQ
💥Amber Heard’s sister Whitney Henriquez shares message after Depp trial""IStill stand with you ,but""
#AmberHeard 
#JusticeForJohnnyDepp 
#amberheardvsjohnnydepp 
#whitneyHenriquez 
#JohnnyDepp 
#AmberTurds https://t.co/U7JoXJKp4a","['AmberHeard', 'JusticeForJohnnyDepp', 'amberheardvsjohnnydepp', 'whitneyHenriquez', 'JohnnyDepp', 'AmberTurds']"
909,MrsBosela,"Back on here, What have I missed?",,39,3,103,0,Can any of the #AmberHeard stans explain to me did she write the op-Ed about #JohnnyDepp or not because I don’t think she even knows at this point. Asking for a friend thanks !,"['AmberHeard', 'JohnnyDepp']"
910,AnnabelKiwiBird,"🎨🎶🎬 📝 ..  #justiceforjohnnydepp
𝙉𝙀𝙑𝙀𝙍 𝙁𝙀𝘼𝙍 𝙏𝙍𝙐𝙏𝙃
#JohnnyDeppNFT
🐰||👤.. ䷈ Annabel 🇳🇿#9386 🥕🥕🥕
#IstandwithMarilynManson",New Zealand,758,332,12844,0,"@CRC57325971 @AJoshuaW MISANDRY, not feminism.
#AmberHeard is a #misandrist 

💢Feminism is about equality, and raising a society to respect men and women equally.

#JohnnyDepp #TruthWins #MenToo #NFTCommunity 
#Equality #inclusion #BelievePeople⚧️ https://t.co/TIi7tQK6sL","['AmberHeard', 'misandrist', 'JohnnyDepp', 'TruthWins', 'MenToo', 'NFTCommunity', 'Equality', 'inclusion', 'BelievePeople']"
911,a6c94e3177e74b4,,,5,2,4,5,"what do you think?

RT for #JohnnyDepp 
Like for #AmberHeard 
#jonnydeppvsamberheard https://t.co/4UVc4Q6an8","['JohnnyDepp', 'AmberHeard', 'jonnydeppvsamberheard']"
